dutch,english,topic,section,example
Europese Unie,European Union,Topic 20,In the News,De Europese Unie neemt besluiten.
feit,fact,Topic 20,In the News,Dit is een belangrijk feit.
hoofdstad,capital,Topic 20,In the News,Amsterdam is de hoofdstad.
migrant,migrant,Topic 20,In the News,Migranten zoeken werk.
nieuwssite,news site,Topic 20,In the News,Ik lees nieuws op een nieuwssite.
ondanks,despite,Topic 20,In the News,Ondanks problemen gaat het goed.
onderzoeken,to research,Topic 20,In the News,Journalisten onderzoeken het verhaal.
organisatie,organization,Topic 20,In the News,De organisatie helpt mensen.
overdreven,over the top,Topic 20,In the News,Het verhaal is overdreven.
ruim,more than,Topic 20,In the News,Ruim duizend mensen kwamen.
sloot,ditch,Topic 20,In the News,Het ongeluk gebeurde bij een sloot.
stom,stupid,Topic 20,In the News,Dat is een stom besluit.
tarief,rate,Topic 20,In the News,Het tarief gaat omhoog.
toch,don't you,Topic 20,In the News,Je leest toch het nieuws?
verhogen,to increase,Topic 20,In the News,Ze gaan de prijzen verhogen.
voortaan,from now on,Topic 20,In the News,Voortaan wordt het anders.
vrezen,to fear,Topic 20,In the News,Mensen vrezen voor hun baan.
werkloosheid,unemployment,Topic 20,In the News,Werkloosheid is een probleem.
advertentie,advertisement,Topic 20,Social Media,Ik zie veel advertenties online.
bevolking,population,Topic 20,Social Media,De hele bevolking gebruikt sociale media.
bezorgd,worried,Topic 20,Social Media,Ik ben bezorgd over privacy.
communiceren,to communicate,Topic 20,Social Media,We communiceren via sociale media.
constant,constantly,Topic 20,Social Media,Ik check constant mijn telefoon.
dankzij,thanks to,Topic 20,Social Media,Dankzij sociale media blijf ik in contact.
diploma-uitreiking,graduation ceremony,Topic 20,Social Media,Ik deel foto's van mijn diploma-uitreiking.
echter,however,Topic 20,Social Media,Sociale media is leuk echter ook verslavend.
evenement,event,Topic 20,Social Media,Ik deel foto's van het evenement.
feestdag,holiday,Topic 20,Social Media,Op feestdagen post ik veel.
festival,festival,Topic 20,Social Media,Het festival was geweldig op sociale media.
gebeurtenis,event,Topic 20,Social Media,Elke gebeurtenis wordt gedeeld.
gebruiker,user,Topic 20,Social Media,Ik ben een actieve gebruiker.
kennis,acquaintance,Topic 20,Social Media,Ik volg veel kennissen online.
kleinkind,grandchild,Topic 20,Social Media,Oma ziet foto's van haar kleinkind.
koopje,bargain,Topic 20,Social Media,Ik vond een koopje via sociale media.
kwart,quarter,Topic 20,Social Media,Een kwart van de dag ben ik online.
oudere,elderly person,Topic 20,Social Media,Ouderen gebruiken ook sociale media.
privacy,privacy,Topic 20,Social Media,Privacy is belangrijk online.
profiel,profile,Topic 20,Social Media,Mijn profiel is openbaar.
slechts,only,Topic 20,Social Media,Slechts weinig mensen zijn niet online.
sociale medium,social media,Topic 20,Social Media,Sociale media verandert communicatie.
toename,increase,Topic 20,Social Media,Er is een toename van gebruikers.
verslaafd,addicted,Topic 20,Social Media,Ik ben verslaafd aan sociale media.
afstand,distance,Topic 20,In the News,De afstand tussen steden wordt kleiner.
arbeidsmarkt,labour market,Topic 20,In the News,De arbeidsmarkt verandert snel.
Aziatisch,Asian,Topic 20,In the News,Er komen meer Aziatische migranten.
bevallen,to give birth,Topic 20,In the News,Ze is bevallen van een zoon.
brandstof,fuel,Topic 20,In the News,Brandstof wordt duurder.
buitenlands,foreign,Topic 20,In the News,Buitenlands nieuws is belangrijk.
daarvoor,before,Topic 20,In the News,Daarvoor was de situatie anders.
economie,economy,Topic 20,In the News,De economie groeit langzaam.
Europese Unie,European Union,Topic 20,In the News,De Europese Unie neemt besluiten.
feit,fact,Topic 20,In the News,Dit is een belangrijk feit.
hoofdstad,capital,Topic 20,In the News,Amsterdam is de hoofdstad.
migrant,migrant,Topic 20,In the News,Migranten zoeken werk.
nieuwssite,news site,Topic 20,In the News,Ik lees nieuws op een nieuwssite.
ondanks,despite,Topic 20,In the News,Ondanks problemen gaat het goed.
onderzoeken,to research,Topic 20,In the News,Journalisten onderzoeken het verhaal.
organisatie,organization,Topic 20,In the News,De organisatie helpt mensen.
overdreven,over the top,Topic 20,In the News,Het verhaal is overdreven.
ruim,more than,Topic 20,In the News,Ruim duizend mensen kwamen.
sloot,ditch,Topic 20,In the News,Het ongeluk gebeurde bij een sloot.
stom,stupid,Topic 20,In the News,Dat is een stom besluit.
tarief,rate,Topic 20,In the News,Het tarief gaat omhoog.
toch,don't you,Topic 20,In the News,Je leest toch het nieuws?
verhogen,to increase,Topic 20,In the News,Ze gaan de prijzen verhogen.
voortaan,from now on,Topic 20,In the News,Voortaan wordt het anders.
vrezen,to fear,Topic 20,In the News,Mensen vrezen voor hun baan.
werkloosheid,unemployment,Topic 20,In the News,Werkloosheid is een probleem.
aankomen,to arrive,Topic 20,Religion,De vluchtelingen komen aan.
aanraden,to recommend,Topic 20,Religion,Ik raad deze kerk aan.
beeld,image,Topic 20,Religion,Het beeld staat in de tempel.
bespreken,to discuss,Topic 20,Religion,We bespreken religie niet.
boeddhist,Buddhist,Topic 20,Religion,Hij is boeddhist.
christen,Christian,Topic 20,Religion,Zij is christen.
drug,drug,Topic 20,Religion,Drugs zijn verboden in de religie.
eiland,island,Topic 20,Religion,Op het eiland staat een kerk.
geloof,religion,Topic 20,Religion,Mijn geloof is belangrijk.
kerk,church,Topic 20,Religion,We gaan naar de kerk.
kerstvakantie,Christmas vacation,Topic 20,Religion,Tijdens kerstvakantie zijn we vrij.
liefde,love,Topic 20,Religion,Religie gaat over liefde.
moskee,mosque,Topic 20,Religion,De moskee is mooi.
moslim,Muslim,Topic 20,Religion,Hij is moslim.
onbeleefd,rude,Topic 20,Religion,Het is onbeleefd om te storen.
openbaar,public,Topic 20,Religion,Dit is een openbare kerk.
president,president,Topic 20,Religion,De president respecteert alle religies.
privé,private,Topic 20,Religion,Geloof is privé.
taboe,taboo,Topic 20,Religion,Dat onderwerp is taboe.
taxi,taxi,Topic 20,Religion,We nemen een taxi naar de kerk.
tempel,temple,Topic 20,Religion,De tempel is heilig.
terwijl,while,Topic 20,Religion,Terwijl hij bidt ben ik stil.
vluchteling,refugee,Topic 20,Religion,Vluchtelingen zoeken bescherming.
ziekte,illness,Topic 20,Religion,Hij bidt voor genezing van ziekte.
zoiets,something like that,Topic 20,Religion,Geloof is zoiets persoonlijks.
